level,stack,stack_bb,opener_seat,defender_seat,opener_open_fraction,opener_call_fraction,defender_flat_realization,hand,best_action,fold_value,flat_value,jam_value,flat_ev,jam_ev,flat_equity,jam_equity,bb_win_bb_delta,bb_win_opener_delta,bb_win_others_delta,bb_lose_bb_delta,bb_lose_opener_delta,bb_lose_others_delta
9,19000,5.000,0,5,0.500,0.000,0.400,Q4o,jam,-18.000000,-23.989583,40.000000,-5.989583,58.000000,0.500326,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,Q7o,jam,-18.000000,-24.000000,40.000000,-6.000000,58.000000,0.500000,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,J3o,jam,-18.000000,-24.000000,40.000000,-6.000000,58.000000,0.500000,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,T9s,jam,-18.000000,-24.000000,40.000000,-6.000000,58.000000,0.500000,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,66,jam,-18.000000,-24.062500,40.000000,-6.062500,58.000000,0.498047,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K2o,jam,-18.000000,-24.291667,40.000000,-6.291667,58.000000,0.490885,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,K5o,jam,-18.000000,-24.343750,40.000000,-6.343750,58.000000,0.489258,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,55,jam,-18.000000,-24.354167,40.000000,-6.354167,58.000000,0.488932,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,33,jam,-18.000000,-24.625000,40.000000,-6.625000,58.000000,0.480469,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
9,19000,5.000,0,5,0.500,0.000,0.400,T9o,jam,-18.000000,-24.729167,40.000000,-6.729167,58.000000,0.477214,0.000000,58.000000,-80.000000,22.000000,-22.000000,0.000000,22.000000
